folder,task,model,oneHotEncoding,mlpLayers,mlpWidth,mlpDropout,mlpEpochs,mlpEmbNeurons,logrC,auc,f1,acc,set,test_auc,test_f1,test_acc,test_set,auc+f1
2025-4-11_10-26-53_experiment-0,survival12,MLP,True,2,100,0.0,20,3,1.0,0.9088640166270724,0.9851492019430951,0.9710576142818501,,,,,,1.8940132185701675
2025-4-11_2-12-0_experiment-0,survival12,MLP,True,1,100,0.2,100,3,1.0,0.9086670531153058,0.9852021840626731,0.9710962556513003,,,,,,1.893869237177979
2025-4-11_1-22-54_experiment-0,survival12,MLP,True,1,100,0.0,50,3,1.0,0.9086116613107869,0.9851691978694335,0.9710576142818501,,,,,,1.8937808591802203
2025-4-12_9-2-6_experiment-0,survival12,MLP,True,4,50,0.4,100,3,1.0,0.9066480499514673,0.9870550801399237,0.9746899030101627,,,,,,1.893703130091391
2025-4-11_9-29-12_experiment-0,survival12,MLP,True,2,50,0.3,100,3,1.0,0.9075871672636523,0.9860726438236923,0.9727964759071062,,,,,,1.8936598110873446
2025-4-12_11-40-21_experiment-0,survival12,MLP,True,4,100,0.3,100,3,1.0,0.9067776544588021,0.9868561278863233,0.9742648479462113,,,,,,1.8936337823451255
2025-4-12_14-42-45_experiment-0,survival12,MLP,True,4,200,0.2,50,3,1.0,0.9074167082886058,0.9860930544064925,0.9727191931682059,,,,,,1.8935097626950983
2025-4-11_20-41-49_experiment-0,survival12,MLP,True,3,50,0.4,100,3,1.0,0.905330212259039,0.9873751797215057,0.9752308821824646,,,,,,1.8927053919805448
2025-4-12_9-45-52_experiment-0,survival12,MLP,True,4,100,0.0,20,3,1.0,0.9071991301371684,0.9854441895419667,0.9715599520847019,,,,,,1.892643319679135
2025-4-11_11-55-23_experiment-0,survival12,MLP,True,2,100,0.3,100,3,1.0,0.9059311156193216,0.986501175959049,0.973607944665559,,,,,,1.8924322915783707
2025-4-11_12-49-43_experiment-0,survival12,MLP,True,2,100,0.5,100,3,1.0,0.9060713219413444,0.9862131269884913,0.9728737586460064,,,,,,1.8922844489298356
2025-4-10_23-48-13_experiment-0,survival12,MLP,True,1,50,0.1,100,3,1.0,0.906766704604743,0.9854023261333966,0.9714826693458016,,,,,,1.8921690307381396
2025-4-11_6-20-30_experiment-0,survival12,MLP,True,2,20,0.0,100,3,1.0,0.9049022041494003,0.9861643673162825,0.9729510413849067,,,,,,1.8910665714656827
2025-4-11_13-38-31_experiment-0,survival12,MLP,True,2,200,0.1,50,3,1.0,0.9046926309034973,0.9850203549266827,0.970709841956799,,,,,,1.88971298583018
2025-4-12_9-30-13_experiment-0,survival12,MLP,True,4,50,0.5,100,3,1.0,0.9041535179177094,0.985550436231742,0.9715213107152517,,,,,,1.8897039541494514
2025-4-11_20-15-39_experiment-0,survival12,MLP,True,3,50,0.3,100,3,1.0,0.9018694693866711,0.9866282739034395,0.9738011515128097,,,,,,1.8884977432901107
2025-4-12_8-7-57_experiment-0,survival12,MLP,True,4,50,0.2,100,3,1.0,0.9015494337988421,0.9866060845515607,0.9738011515128097,,,,,,1.8881555183504029
2025-4-11_11-28-33_experiment-0,survival12,MLP,True,2,100,0.2,100,3,1.0,0.9016703373219002,0.9857405612799874,0.9721395726264539,,,,,,1.8874108986018876
2025-4-11_3-59-46_experiment-0,survival12,MLP,True,1,200,0.1,50,3,1.0,0.9026613928171529,0.9842666349621528,0.9693187526565942,,,,,,1.8869280277793057
2025-4-10_23-28-36_experiment-0,survival12,MLP,True,1,50,0.0,100,3,1.0,0.9020870475381086,0.9848340856893957,0.9704007110011978,,,,,,1.8869211332275042
2025-4-12_12-15-53_experiment-0,survival12,MLP,True,4,100,0.4,100,3,1.0,0.9000177392990208,0.9868439165404811,0.9741489238378608,,,,,,1.886861655839502
2025-4-11_8-44-0_experiment-0,survival12,MLP,True,2,50,0.1,100,3,1.0,0.9007689421230873,0.9859805702551141,0.9725646276904053,,,,,,1.8867495123782014
2025-4-12_0-29-25_experiment-0,survival12,MLP,True,3,200,0.0,20,3,1.0,0.9026459452235291,0.9840835119472889,0.969009621700993,,,,,,1.886729457170818
2025-4-12_16-20-20_experiment-0,survival12,MLP,True,4,200,0.4,100,3,1.0,0.8994626700466823,0.9863514070815577,0.9731442482321574,,,,,,1.8858140771282401
2025-4-12_0-11-24_experiment-0,survival12,MLP,True,3,100,0.5,100,3,1.0,0.8993252748118874,0.986482238289846,0.9734147378183082,,,,,,1.8858075131017333
2025-4-12_2-35-0_experiment-0,survival12,MLP,True,3,200,0.3,50,3,1.0,0.8994830705082788,0.9862513257650155,0.9729510413849067,,,,,,1.8857343962732944
2025-4-11_21-21-45_experiment-0,survival12,MLP,True,3,100,0.0,20,3,1.0,0.8999958931354214,0.9851644977915107,0.9710576142818501,,,,,,1.885160390926932
2025-4-11_22-24-54_experiment-0,survival12,MLP,True,3,100,0.2,50,3,1.0,0.8983153181015598,0.9862404283380248,0.9729896827543568,,,,,,1.8845557464395846
2025-4-12_1-51-57_experiment-0,survival12,MLP,True,3,200,0.2,50,3,1.0,0.8973394692495972,0.986159510168724,0.9728351172765562,,,,,,1.8834989794183212
2025-4-12_13-11-26_experiment-0,survival12,MLP,True,4,200,0.0,20,3,1.0,0.8992277970157284,0.9837726180308658,0.968430001159241,,,,,,1.8830004150465942
2025-4-12_15-25-39_experiment-0,survival12,MLP,True,4,200,0.3,50,3,1.0,0.8949868837347174,0.9864660472607987,0.9733760964488581,,,,,,1.8814529309955161
2025-4-11_4-35-22_experiment-0,survival12,MLP,True,1,200,0.2,100,3,1.0,0.8962914959310448,0.9839854124549093,0.9687777734842923,,,,,,1.8802769083859543
2025-4-11_23-38-55_experiment-0,survival12,MLP,True,3,100,0.4,100,3,1.0,0.8930065664855862,0.9867390705544407,0.9739557169906101,,,,,,1.8797456370400267
2025-4-11_21-53-11_experiment-0,survival12,MLP,True,3,100,0.1,50,3,1.0,0.8943129991955472,0.9853392161130127,0.9713667452374513,,,,,,1.87965221530856
2025-4-11_19-49-33_experiment-0,survival12,MLP,True,3,50,0.2,100,3,1.0,0.8937312112284141,0.9849407749846233,0.9706712005873488,,,,,,1.8786719862130374
